City,Country,DBA,Email,FaxNumber,Id,Name,PhoneNumber,PhysicalState,ProviderId,ProviderUpdatedOn,RemoveReason,RequestType,Status,StreetAddress,UpdatedOn,Website,ZipCode
Mulkeytown,US,,mmorgan@zr188.org,,9aee16e5-4afb-4ed3-9915-c9636c64f995,Zeigler-Royalton CUSD 188,+1 618-596-5841,Illinois (IL),f228524b-86e3-48f7-b492-c86b44c22425,2025-11-06T20:02:52.625814+00:00,No longer providing training,None,Active,4989 IL-148,2022-03-24T19:09:39.950165+00:00,,62865-3296
Twin Falls,US,"XAVIER CHARTER SCHOOL, INC.",KChuculate@xaviercharter.org,,ba9f2a57-9f3c-45fd-b136-06889cd2c386,"XAVIER CHARTER SCHOOL, INC.",+1 503-508-0165,Idaho (ID),e8ab21e6-dcb2-40d4-8b50-6fab98a0eceb,2025-11-06T19:54:54.0886+00:00,No longer providing training,None,Active,1218 N College Rd W,2024-06-17T13:54:29.538145+00:00,,83301-5651
Chehalis,US,,info@wolverinewest.com,,dae1cb9c-c004-4f1c-8354-5b121d932b71,Wolverine West Fireworks,+1 360-791-5055,Washington (WA),006a5603-017d-47ee-81e9-54e80b9655a6,2026-01-21T19:13:44.808567+00:00,No longer providing training,None,Active,POB 628,2022-03-15T00:23:50.214591+00:00,https://www.wolverinewest.com,98532
Jackson,US,,wtcdltraining@gmail.com,,7a525bd0-595e-4c17-b631-1fd1aea8c9a5,wisdom Trans,+1 732-718-9953,New Jersey (NJ),3a4e650d-c747-44ec-9e51-b8ef9b29507f,2025-11-17T15:41:07.285025+00:00,No longer providing training,None,Active,26 Conor Rd,2022-10-06T13:45:38.68342+00:00,,08527-3782
Frankfort,US,,wipfcustomfarms@gmail.com,,a81ac9a9-4f38-4b10-bb28-6dc2270f146c,Wipf Custom Farms LLC,+1 605-266-2866,South Dakota (SD),c950ebc6-f8a9-4196-8884-c3744cc3453f,2026-01-16T16:03:24.338886+00:00,No longer providing training,None,Active,18516 403rd Ave,2024-02-07T18:23:12.285457+00:00,,57440-7800
Huntsville,US,,cwelch@westran.k12.mo.us,,0eab21fc-05c1-4f2b-91e0-c923ed9d7ec2,Westran R1 School,+1 660-277-4299,Missouri (MO),f02161d1-2e57-4f40-8eac-3cb0e3cca493,2025-11-06T19:59:17.21131+00:00,No longer providing training,None,Active,228 Huntsville Ave,2022-04-12T17:18:46.992048+00:00,,65259-1230
Wells,US,,wpropane.ar@gmail.com,,1848cbcf-393f-4ea9-aa81-2359673afbf4,Wells Propane Inc.,+1 775-752-3421,Nevada (NV),ac4a317c-3221-4e32-9b1f-71c1b8074b29,2025-11-06T19:10:06.243939+00:00,No longer providing training,None,Active,338 Easy St,2024-07-23T19:10:56.394649+00:00,,89835
Waterford,US,,jharblin@whufsd.org,,2e55f7bd-3586-490d-9119-34c4388a74e1,Waterford-Halfmoon UFSD,+1 518-237-0800,New York (NY),8190c133-d57d-4fc5-a825-e0134394bc98,2025-11-06T18:39:13.369187+00:00,No longer providing training,None,Active,125 Middletown Rd,2022-10-26T14:20:48.269895+00:00,https://www.whufsd.org/,12188
Blair,US,,washcoroad@abbnebraska.com,,2c03b9a6-dfa6-4666-878c-4d3eae9fcc25,Washington County Road Department,+1 402-426-6844,Nebraska (NE),c20cea0f-6969-4d4d-b611-da3808351ac9,2025-11-06T19:24:59.655202+00:00,No longer providing training,None,Active,8845 Berry Hill Rd,2023-09-22T19:55:13.09983+00:00,,68008
Roxana,US,Village of Roxana,roxanastreet@roxana-il.org,,4486612b-d460-4f15-937f-23db73aaf730,Village of Roxana,+1 618-254-1951,Illinois (IL),bfd3ce2a-d663-4870-a29d-bdee6bff4131,2025-11-06T19:23:13.367425+00:00,No longer providing training,None,Active,310 N. Central,2025-01-17T15:13:26.682396+00:00,https://roxana-il.org,62084
